Model,Accuracy,Bal. accuracy,Precision,Recall,F1,F2,ROC_AUC
Voting,"77.175996
(1.709057)","78.908561
(1.536592)","54.808637
(2.321424)","82.608629
(3.954916)","65.812627
(1.797116)","74.920819
(2.502908)","87.224241
(1.441387)"
LR,"77.891612
(1.529604)","79.037974
(1.736235)","55.796581
(2.068142)","81.485826
(2.978952)","66.213700
(2.098306)","74.593084
(2.422182)","87.266539
(1.462644)"
SGD,"76.218728
(2.736865)","78.489112
(1.660507)","53.766162
(3.594173)","83.338413
(5.432532)","65.136993
(2.069347)","74.861230
(2.893275)","87.056939
(1.420770)"
KNN,"70.027325
(1.441405)","71.105091
(1.307280)","46.045372
(1.602664)","73.406935
(2.531099)","56.565124
(1.514545)","65.582358
(1.832762)","77.096901
(1.589440)"
CART,"74.995238
(1.856679)","70.095627
(2.419442)","52.638835
(3.161133)","59.637360
(4.122878)","55.887771
(3.333070)","58.069528
(3.721131)","70.092863
(2.421700)"
GNB,"76.270347
(1.568834)","77.137412
(1.630773)","53.691546
(2.080958)","78.989036
(2.633013)","63.904735
(1.996776)","72.164586
(2.181456)","85.337634
(1.632157)"
SVM (RBF),"78.251797
(1.493690)","77.053083
(1.791725)","57.003997
(2.296256)","74.494662
(3.414587)","64.546239
(2.260068)","70.154601
(2.736774)","85.731099
(1.498588)"
ADA,"79.105013
(1.384597)","79.016397
(1.636891)","57.880228
(2.026201)","78.828129
(2.773054)","66.729299
(2.056060)","73.490440
(2.345136)","87.520512
(1.454812)"
GB,"80.522403
(1.548221)","79.014770
(1.828315)","60.749769
(2.550307)","75.796772
(3.014745)","67.417271
(2.424714)","72.198109
(2.644657)","87.713581
(1.468954)"
RF,"80.275807
(1.393158)","75.683643
(1.939719)","62.209452
(2.639603)","65.880915
(3.704698)","63.947557
(2.705162)","65.082121
(3.211003)","85.923049
(1.503227)"
XGB,"80.133626
(1.358122)","74.897852
(1.794820)","62.409780
(2.700449)","63.721753
(3.349183)","63.016957
(2.576776)","63.427483
(2.950011)","86.006038
(1.701142)"
LGB,"80.735606
(1.534462)","76.519901
(1.990018)","62.835147
(2.802010)","67.521132
(3.396192)","65.064970
(2.776697)","66.509094
(3.069342)","87.073749
(1.460237)"
